AgeOrig,Length,Sex,Age,Source
1,13.9,Female,2,Sazhinov
1,13.2,Female,2,Sazhinov
1,13.3,Female,2,Sazhinov
1,13.2,Female,2,Sazhinov
1,14.6,Female,2,Sazhinov
1,16.8,Female,2,Sazhinov
1,13,Female,2,Sazhinov
1,13.1,Female,2,Sazhinov
1,13.2,Female,2,Sazhinov
1,13.5,Female,2,Sazhinov
1,13.6,Female,2,Sazhinov
1,13.7,Female,2,Sazhinov
1,13.9,Female,2,Sazhinov
1,14,Female,2,Sazhinov
1,14.4,Female,2,Sazhinov
1,14.2,Female,2,Sazhinov
1,15,Female,2,Sazhinov
1,15.2,Female,2,Sazhinov
1,15.5,Female,2,Sazhinov
1,16,Female,2,Sazhinov
1,16.5,Female,2,Sazhinov
1,16.5,Female,2,Sazhinov
1,16.6,Female,2,Sazhinov
1,16.6,Female,2,Sazhinov
1,16.6,Female,2,Sazhinov
1,16.8,Female,2,Sazhinov
1,16.9,Female,2,Sazhinov
1,17.6,Female,2,Sazhinov
1,17.7,Female,2,Sazhinov
1,16.6,Female,2,Sazhinov
1,16.4,Female,2,Sazhinov
1,16.5,Female,2,Sazhinov
1,16.7,Female,2,Sazhinov
1,16.7,Female,2,Sazhinov
1,17,Female,2,Sazhinov
1.5,16,Female,3,Sazhinov
1.5,16.1,Female,3,Sazhinov
1.5,16.4,Female,3,Sazhinov
1.5,17,Female,3,Sazhinov
1.5,17.2,Female,3,Sazhinov
1.5,17.6,Female,3,Sazhinov
1.5,17.8,Female,3,Sazhinov
1.5,17.9,Female,3,Sazhinov
1.5,18.3,Female,3,Sazhinov
2,16,Female,4,Sazhinov
2,16.2,Female,4,Sazhinov
2,16.1,Female,4,Sazhinov
2,17.1,Female,4,Sazhinov
2,16.4,Female,4,Sazhinov
2,17.8,Female,4,Sazhinov
2,16.4,Female,4,Sazhinov
2,17.9,Female,4,Sazhinov
2,16.6,Female,4,Sazhinov
2,18.4,Female,4,Sazhinov
2,17,Female,4,Sazhinov
2,18.4,Female,4,Sazhinov
2,17,Female,4,Sazhinov
2,18.5,Female,4,Sazhinov
2,17.2,Female,4,Sazhinov
2,18.7,Female,4,Sazhinov
2,17.6,Female,4,Sazhinov
2,17.7,Female,4,Sazhinov
2,17.8,Female,4,Sazhinov
2,16.2,Female,4,Sazhinov
2,17.1,Female,4,Sazhinov
2,17.8,Female,4,Sazhinov
2,18,Female,4,Sazhinov
2,18.3,Female,4,Sazhinov
2,18.6,Female,4,Sazhinov
2,18.7,Female,4,Sazhinov
2.5,18.3,Female,5,Sazhinov
3,18.3,Female,6,Sazhinov
3,17.6,Female,6,Sazhinov
3,19.3,Female,6,Sazhinov
3,20,Female,6,Sazhinov
3,20.7,Female,6,Sazhinov
3,18.3,Female,6,Sazhinov
3,17.5,Female,6,Sazhinov
3,19.3,Female,6,Sazhinov
3.5,17,Female,7,Sazhinov
3.5,18.2,Female,7,Sazhinov
3.5,18.3,Female,7,Sazhinov
3.5,19.1,Female,7,Sazhinov
3.5,19.2,Female,7,Sazhinov
3.5,19.4,Female,7,Sazhinov
